Date,Username,User tag,Content,Mentions,Reply to
"07.07.2026 18:36:39","biok_ymer","#9440","—Виктор Кольд—
|-----------------------------------------------------------------------------|
Недовольно прыгая на одной ноге и смотря на дверь, тот встал на ноги и показав на глаза, а после на дверь словно бросая вызов он достал из рюкзака динамит, что тут же прикрепив к двери поджог и отбежав стал смотреть за тем как дверь выдержит бум
|-----------------------------------------------------------------------------|","ktoia","1524065017803046942"
"07.07.2026 20:36:53","ktoia","#6622","|-----------------------------------------------------------------------------|

Взрыв грохнул, окутав коридор облаком дыма и пыли. Металлический гул прокатился по стенам, на мгновение заглушив все остальные звуки. Виктор, стоя на безопасном расстоянии смотрел как дым медленно рассеивается, открывая результат его работы... И....

**Дверь устояла.**

На ней осталась лишь небольшая вмятина и оболочка слегка почернела от копоти. Увы, но она даже не погнулась по-настоящему.

**Но **не успел Виктор обдумать следующий шаг, как из дыма, всё ещё висящего за его спиной, с легким свистом вылетела светящаяся белая цепь. Она с глухим стуком врезалась в дверь, оставляя на ней след и упала на пол, звякнув металлом. Следом - ещё одна, потом третья. Они били точно и тяжело, кто-то прицельно пытался пробить нарушителя порядка Виктора.

Фигура в дыму оставалась неясной - силуэт, почти неразличимый в белом мареве, двигался медленно, явно не торопясь подходить ближе. Кто бы это ни был, он явно пока не собирался беседовать!

А, чуть не забыл! **Дверь 2 - Виктор 0**

|-----------------------------------------------------------------------------|","biok_ymer","1524076692732252160"
"07.07.2026 21:01:58","ktoia","#6622","— Азазель —  

Азазель услышала слова Айрис, ухмыльнулась и подойдя ближе к Люци, положила руку ей на талию, чуть наклонив головку:

— Хах. Знаешь, я не такая уж и старая, чтобы застать Адама. Наверное, из здесь присутствующих только Люсенька и видела его. Она у нас тут самая стаааааренькая~~~

Она мягко сжала талию Люци и не став задерживаться на этой теме, продолжила уже деловито:

— Что касается дела... Я хотела бы заняться ""переключателем"", о котором говорил Виз. Мальчишка прав: это стоит сделать в первую очередь.

Чуть задумавшись, вдруг с прищуром взглянув на Айрис, добавила с лёгкой насмешкой:  

— Хотя... может, сначала тебе что-то понормальнее надеть? Я могу помочь с этим, если хочешь~","biok_ymer","1523908279288205432"
"07.07.2026 21:21:57","samin__","#2997","— Джон —

Парень и правда не знал что такое эти ваши ""космические корабли"", от чего хотел было просто проигнорировать это высказывание, однако услышав объяснение чуть призадумался, укладывая информацию в чертоги своего блестящего разума, делая свои выводы, относительно ""плывущего по звёздам корабля"". Когда тому подыграли, парень еле заметно ухмыльнулся, отвечая:

— Почту за честь... пф... хахах

Выпрямившись, парень принял привычную позу, начиная оглядываться, а после указав на ближайший к ним проход сказал:

— Хух... обожаю высмеивать этих жирдяев, значит они во всех мирах есть? Тогда предлогаю иследовать ту часть ""ада"". Нам сказали что можем брать что угодно? Не сказать что разрешение нам было так нужно, но так даже проще. Раз карт-бланш на свинство получен - идём свинячить

Договорив, парень вновь проверил часы, уже скорее из привычки, чем из какого-то практичного смысла и направился в сторону неизвестного прохода","pizza9832","1523748029671411872"
"08.07.2026 12:29:17","biok_ymer","#9440","—Айрис Янг—
|-----------------------------------------------------------------------------|
Девушка чуть обрадовалась идеи смены наряда, однако вспоминая, что этот наряд был куплен вместе с Сорой, та отрицательно покачала головой, говоря:
|-----------------------------------------------------------------------------|

—Нет не нужно, меня все устраивает. Меня конечно бесит юбка, но это подарок и я не могу от не отказаться.

/После сказанного она вновь глянула на раму, после чего изучая ту, сказала:/
-Значит переключатель... Ты ведь уже создала портал зная координаты своего мира, а значит способна понять координаты междумирье и других миров, что мы используем, чтобы мы могли их привязать к определенной комбинации, для переключения.

/Одновременно с тем рассказом Айрис, Люцифер стала все сильнее недовольно смотреть на Азазель от её касаний и в совершенно спокойной манере, словно в назначай девушка достала из-за спины кинжал в попытках ранить Азазель, однако очевидно та успела его остановить, отчего та продолжила несколько раз тыкать им в девушку./

|-----------------------------------------------------------------------------|","ktoia","1524113260834586665"
"08.07.2026 12:30:37","biok_ymer","#9440","—Виктор Кольд—
|-----------------------------------------------------------------------------|
И снова поражение. Из чего сделана дверь, из титана что-ли? Только парень показал палец фак двери, как увидил как в неё слабо ударились цепи, а после озутилих их же на своих руках, отчего недовольно схватился за них и стал тянуть к себе то, что их испускает.
|-----------------------------------------------------------------------------|","ktoia","1524106949443190944"
"08.07.2026 14:48:57","ktoia","#6622","|-----------------------------------------------------------------------------|

Не знаю, насколько сильно герои хотели поговорить, однако они двинулись дальше, проходя вглубь коридоров и вышли на перекрёсток, где... почувствовали резкое странное присутствие. Словно кто-то за ними следит.  

Если они оглянутся, то заметят в правом коридоре, вдалеке, красный глаз, который с прищуром выглядывает из-за угла и наблюдает за ними. Если они встретятся с ним взглядом, неизвестный наблюдатель тут же скроется за поворотом…  

Ну вызов! Не иначе!

||<@&1496354817927286844> ||

|-----------------------------------------------------------------------------|","samin__","1524118292778844200"
"08.07.2026 14:59:22","ktoia","#6622","|-----------------------------------------------------------------------------|

Решив поиграть в перетягивание каната с нападающим, Виктору понадобилось приложить немало потугов чтобы понять, что фигура бросавшая в него цепи сама начала приближаться к нему. Когда дым начал рассеиваться, неизвестная довольно быстро притянулась к мужику или наоборот притянула его к себе. Неважно. Важно то, что сейчас перед Виктором открылась следующая картина: 

Перед ним стояла хмурая девушка с серой кожей и яркими белыми глазами. Волосы такие же белые, а над ними возвышались большие черные изогнутые рога. Долго думать не надо - это демон, и он явно смотрел на Виктора с недобрым прищуром.  

Они стояли примерно в полушаге друг от друга. Она держала цепь. Он тоже держал цепь.  

Итак... пока она ничего не успела сказать, какими будут действия Виктора?

|-----------------------------------------------------------------------------|","biok_ymer","1524346963372408832"
"08.07.2026 17:12:56","pizza9832","#9089","__""Кертис""__

*Услышав от <@&1496354710934917322> его вдохновляющие слова, которые также же давали полный доступ к свинству. Это немного успокоило женщину, что та может немного расслабиться и просто насладиться жизнью хотя бы не на долго*

-Свинство говорить мы же не детском саду, но по крайней мере с моим представлениями об аде это выглядит как....садик для маленьких детишек. Так давай пове....м?

*Не договорив фразу Кертис резко остановилась при этом смотря хищным взглядом прям в темный коридор откуда почувствовала взгляд, а после женщина остановила жестом Джона*

-За нами следят...","ktoia","1524381776447930428"
"08.07.2026 17:48:26","biok_ymer","#9440","—Виктор Кольд—
|-----------------------------------------------------------------------------|
Мужик смотря то на цепь, то на демона, расставил руки в стороны, растягивая цепи и приближаясь тем самым к оппоненту ближе, говоря:
|-----------------------------------------------------------------------------|

—Ну и чё это за копирка меня? Чё тебе надо, я тут дверь ломаю.

|-----------------------------------------------------------------------------|","ktoia","1524384397808369664"
"08.07.2026 19:12:14","ktoia","#6622","— Азазель —

Азазель внимательно слушала Айрис, кивая в такт её словам, и уже открыла рот, чтобы ответить, как почувствовала знакомое движение за спиной. Не оборачиваясь, она ловко перехватила запястье Люцифер, уверенно отведя её руку в сторону.

Она сделала шаг назад, обошла Люцифер и не разрывая контакта, обхватила её сзади, положив свою руку ей на подбородок, а ручки той увела выше. Голос ангела стал ""мурлыкающим"", и она продолжила глядя на Айрис:

— Ты права, Айрис. Исходя из новых знаний полученных в результате ""несчастного случая"" и некоторых разговоров в междумирье я могу с точность сказать - я поняла теоретические и практические знания по открытию порталов куда надо. Во многом.... Хм... Раньше я открывала их на волю случая, а сейчас же... С этим можно, и нужно экспериментировать!

Она на мгновение прикрыла глаза, прислушиваясь к чему-то внутри, затем, приблизившись к уху Люцифер, прошептала мурча:

— Я скучала~~~

Отпустив Люцифер, Азазель, обошла ту обратно и кивнув в сторону сказала:

— Лучше добавим ""визуализации"". За мной~

Азазель развернулась и направилась в соседнюю комнату, где стоял большой белый гладкий стол. Она прошлась по его поверхности пальцами, проверяя чистоту, затем дважды стукнула по нему костяшками. Стол засветился и над ним медленно развернулась голограмма - проекция портала, с переливающимися линиями и пульсирующими узлами.

— Вот. Именно так я вижу его структуру. Идеальную структуру. Хотя... Вернее видела, это нынешний портал, а нам нужно его менять и как то уменьшить до рамок междумирь. Хм. Как раз с этим мне и нужна помощь. Кстати.

Отвела взгляд с голограммы на Айрис:

— Ты понимаешь концепцию ""Дыхания вселенной""? Или объяснить?","biok_ymer","1524346628750704772"
"08.07.2026 19:22:55","ktoia","#6622","|-----------------------------------------------------------------------------|

Демон и бровью не повела, когда Виктор приблизился к ней впритык. Однако когда она услышала слова, которыми он стал разбрасываться, её брови из злого прищура стали непонимающе подниматься. Вслед за этим девушка будто впала в отчётливое непонимание.

Она сжала цепи и те стали очень резко уходить обратно к ней, полностью закрепляясь на руке. Демон не стал ждать и положив руки ему на плечи, стала разглядывать Виктора со всех ракурсов, говоря вслух:

— Какого хера.. ЧЕЛОВЕК?!...

Она перестала вертеть его и сделала шаг назад.

— Ты кто, блять?

|-----------------------------------------------------------------------------|","biok_ymer","1524426945406828706"
"08.07.2026 20:24:04","samin__","#2997","— Джон —

Парень слушал рассуждения <@&1496354817927286844> , удовлетворённый тем, что смог её растормошить. Идя дальше, тот уже начал набирать воздух, чтобы ответить, как вдруг увидел как за ним кто-то следит. Уставший от внимания в своём мире, тут он такого не ожидал, от чего немного подзависнув, увидел жест подружки

Услышав и так понятное замечание, тот кивнул, прижавшись к противоположенной стене, от той за которой скрылась фигура, а после... БЫСТРО ПОБЕЖАЛ В СТОРОНУ НЕИЗВЕСТНОГО с криком:

— Время познания!

Нет, а чего вы ещё ожидали от психа, что оказался в странном месте, вместе с другими психами?

||<@815329322881646622> ||","pizza9832; ktoia","1524418013112303826"
"09.07.2026 00:26:26","ktoia","#6622","|-----------------------------------------------------------------------------|

Кхм... Что ж, как только началась погоня в стиле Скубиду, героям пришлось постараться, чтобы не отстать от фигуры, которая с каждой секундой двигалась всё быстрее. Они только и успевали, что замечать периферией глаза, куда та сворачивала. Один поворот, второй, третий - и вот прямой коридор вывел их в просторную комнату.

Здесь находилось множество контейнеров и стеллажей с ними же - по всей видимости, это был склад. С чем пока оставалось загадкой. На стенах виднелись подписанные секции и цифры, явно указывающие на какую-то систему хранения. И конечно самое выделяющееся здесь - огромная рамка ворот с закрытыми ставнями, которая ну ОЧЕНЬ СИЛЬНО не вписывалась в общую концепцию этого помещения. Что это и зачем ещё предстояло узнать. Тот кто следил за ними пока не показывался, но было ясно: он где-то здесь.

||<@&1496354817927286844> ||

|-----------------------------------------------------------------------------|","samin__","1524466111532498976"
